IBAN,IBAN-uri cheltuieli sectoare speciale actualizat 30.06.2014,http://static.anaf.ro/static/10/Anaf/Aplicatii/OP_FV/opfv2013/IBAN_ch_ss_30062014.txt,DENUMIRE,,,,
RO33TREZ23A510000100000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,CHELTUIELI DE PERSONAL,,,,,
RO18TREZ23A510000200000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,BUNURI SI SERVICII,,,,,
RO03TREZ23A510000300000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,DOBANZI,,,,,
RO85TREZ23A510000400000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,SUBVENTII,,,,,
RO20TREZ23A510000510000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,,,,,
RO14TREZ23A510000550000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,ALTE TRANSFERURI,,,,,
RO61TREZ23A510000560000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,,,,,
RO11TREZ23A510000570000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,ASISTENTA SOCIALA,,,,,
RO08TREZ23A510000590000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,ALTE CHELTUIELI,,,,,
RO96TREZ23A510000650000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA,,,,,
RO87TREZ23A510000710000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,ACTIVE NEFINANCIARE,,,,,
RO37TREZ23A510000720000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,ACTIVE FINANCIARE,,,,,
RO81TREZ23A510000750000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,FONDUL NATIONAL DE DEZVOLTARE,,,,,
RO81TREZ23A510000750000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,Autoritati publice si actiuni externe,TITLUL XIV FONDUL NATIONAL DE DEZVOLTARE,,,,
RO81TREZ23A510000750000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,Autoritati publice si actiuni externe,TITLUL XIV FONDUL NATIONAL DE DEZVOLTARE,,,,
RO81TREZ23A510000750000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,Autoritati publice si actiuni externe,TITLUL XIV FONDUL NATIONAL DE DEZVOLTARE,,,,
RO25TREZ23A510000800000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,IMPRUMUTURI,,,,,
RO72TREZ23A510000810000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,RAMBURSARI DE CREDITE,,,,,
RO66TREZ23A510000850000X,AUTORITATI PUBLICE SI ACTIUNI EXTERNE,PLATI EFECTUATE IN ANII PRECEDENTI SI RECUPERATE IN ANUL CURENT,,,,,
RO49TREZ23A530000100000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,CHELTUIELI DE PERSONAL,,,,,
RO34TREZ23A530000200000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,BUNURI SI SERVICII,,,,,
RO19TREZ23A530000300000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,DOBANZI,,,,,
RO04TREZ23A530000400000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,SUBVENTII,,,,,
RO36TREZ23A530000510000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,TRANSFERURI INTRE UNITATI ALE ADMINISTRATIEI PUBLICE,,,,,
RO30TREZ23A530000550000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,ALTE TRANSFERURI,,,,,
RO77TREZ23A530000560000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,PROIECTE CU FINANTARE DIN FONDURI EXTERNE NERAMBURSABILE (FEN) POSTADERARE,,,,,
RO27TREZ23A530000570000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,ASISTENTA SOCIALA,,,,,
RO24TREZ23A530000590000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,ALTE CHELTUIELI,,,,,
RO15TREZ23A530000650000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,CHELTUIELI AFERENTE PROGRAMELOR CU FINANTARE RAMBURSABILA,,,,,
RO06TREZ23A530000710000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,ACTIVE NEFINANCIARE,,,,,
RO53TREZ23A530000720000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,ACTIVE FINANCIARE,,,,,
RO97TREZ23A530000750000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,FONDUL NATIONAL DE DEZVOLTARE,,,,,
RO97TREZ23A530000750000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,Cercetare fundamentala si cercetare dezvoltare,TITLUL XIV FONDUL NATIONAL DE DEZVOLTARE,,,,
RO97TREZ23A530000750000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,Cercetare fundamentala si cercetare dezvoltare,TITLUL XIV FONDUL NATIONAL DE DEZVOLTARE,,,,
RO97TREZ23A530000750000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,Cercetare fundamentala si cercetare dezvoltare,TITLUL XIV FONDUL NATIONAL DE DEZVOLTARE,,,,
RO41TREZ23A530000800000X,CERCETARE FUNDAMENTALA SI CERCETARE DEZVOLTARE,IMPRUMUTURI,,,,,
